query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,6,5,True,1.7270534270000004
2,ming,13109,0,False,18.070350208
3,ming,11,6,True,0.9993196610000012
4,ming,8,7,True,1.4030790070000023
5,ming,11,8,True,0.5174125889999992
6,ming,6,5,True,0.19108347799999947
7,ming,4,3,True,0.22091603999999876
8,ming,20,5,True,0.47389422900000255
9,ming,8,7,True,0.3352207250000028
10,ming,12,11,True,0.7413237109999997
11,ming,20,9,True,0.9329395829999996
12,ming,8,7,True,1.4287889149999984
13,ming,86,0,False,1.6384069550000007
14,ming,5,4,True,1.0334220259999967
15,ming,4,3,True,0.307721475000001
16,ming,330,0,False,3.2353420410000027
17,ming,7,6,True,1.3584052130000046
18,ming,233,5,True,1.622474449000002
19,ming,5,4,True,1.1807424559999973
20,ming,13,8,True,0.7556855429999985
21,ming,156,15,True,3.444649208999998
22,ming,4,3,True,0.7889837999999969
23,ming,69,11,True,2.8595346620000015
24,ming,17,8,True,0.9286126509999946
25,ming,13,8,True,0.33095494599999853
26,ming,58,12,True,2.1406231520000034
27,ming,7,6,True,1.4628207960000026
28,ming,950,0,False,0.9305240600000033
29,ming,768,13,True,9.317102330999994
30,ming,9,8,True,1.9315478940000048
31,ming,30,9,True,3.666633747000006
32,ming,1354,0,False,2.890740839000003
33,ming,5,4,True,1.131385772999991
34,ming,56946,0,False,32.251459299000004
35,ming,15595,0,False,17.808412911000005
36,ming,5,4,True,0.2837780579999958
37,ming,15,5,True,0.41581827800000326
38,ming,4,3,True,0.38280684999998016
39,ming,9,8,True,0.038501754000009214
40,ming,12,11,True,0.8734481780000181
41,ming,4721,0,False,18.675323493999997
42,ming,13296,0,False,30.359085961000005
43,ming,40015,0,False,48.54731302299999
44,ming,4,3,True,0.2969786870000064
45,ming,20,7,True,0.512861571000002
46,ming,185,0,False,0.637766723999988
47,ming,15,8,True,1.2975801270000034
48,ming,4,3,True,0.9327409909999744
49,ming,9,8,True,1.696165733000015
50,ming,18704,0,False,11.24688357399998
51,ming,7,6,True,1.6533629360000077
52,ming,5,4,True,1.4343241119999846
53,ming,5,4,True,0.19816953000000126
54,ming,46,9,True,5.455499204999995
55,ming,13,8,True,0.6469401610000034
56,ming,11,4,True,0.1178320200000087
57,ming,7,6,True,0.6581695910000178
58,ming,7,6,True,1.103222297000002
59,ming,7,6,True,1.8896452819999752
60,ming,9,8,True,1.6178071239999667
61,ming,4,3,True,0.10633998399998745
62,ming,7,6,True,1.8769251290000284
63,ming,9,6,True,0.1652605259999973
64,ming,15,8,True,0.7315997349999748
65,ming,1354,0,False,0.7150546209999789
66,ming,5,4,True,0.5753545629999621
67,ming,20,8,True,0.5993278669999995
68,ming,72,0,False,1.2916828269999883
69,ming,9,6,True,0.7936949150000032
70,ming,165,13,True,2.347203890000003
71,ming,13,8,True,0.8129452029999698
72,ming,5,4,True,0.34872922799996786
73,ming,78094,0,False,13.142264920999992
74,ming,5,4,True,1.2057002469999816
75,ming,9,0,False,1.3069918699999903
76,ming,10,7,True,0.19083475599995836
77,ming,5,4,True,0.49770460100000946
78,ming,20,8,True,0.6662676529999771
79,ming,26908,0,False,22.042769996000004
80,ming,19,4,True,0.5265012639999895
81,ming,4,3,True,0.4075449599999956
82,ming,10,6,True,0.7504051509999954
83,ming,7,6,True,1.4831035739999834
84,ming,6,5,True,0.8980708249999907
85,ming,4,3,True,0.4696619619999751
86,ming,4,3,True,0.29027009399999315
87,ming,801,0,False,1.812321111000017
88,ming,9,8,True,1.2889913380000166
89,ming,7,6,True,1.5570494749999853
90,ming,4,3,True,0.6751557529999559
91,ming,14,11,True,0.35664350599995487
92,ming,711,13,True,3.3288122069999986
93,ming,5,4,True,0.30617973699997947
94,ming,7,6,True,0.7788416170000119
95,ming,14,6,True,0.24917620899998383
96,ming,6181,0,False,9.501481506999994
97,ming,4,3,True,0.08605040500003724
98,ming,5,4,True,1.3537725399999658
99,ming,12,7,True,0.866409659999988
100,ming,200,15,True,2.149651081999991
