query,std reasoner,std nodes explored,std min depth,success,time
1,std,6,5,True,0.0015255359999999385
2,std,721,0,False,0.02194711100000024
3,std,7,6,True,0.0021201820000005256
4,std,8,7,True,0.0031407500000000255
5,std,36,8,True,0.008337882000000185
6,std,6,5,True,0.0008034559999998692
7,std,4,3,True,0.0005448340000002716
8,std,6,5,True,0.0007049779999999117
9,std,8,7,True,0.0010153290000003423
10,std,45,12,True,0.007544402999999811
11,std,77,9,True,0.006726341999999441
12,std,8,7,True,0.000893099999999869
13,std,366,14,True,0.014028604000000833
14,std,5,4,True,0.0007663080000002154
15,std,4,3,True,0.0003826729999998335
16,std,62,0,False,0.13773868299999936
17,std,7,6,True,0.0014567889999996808
18,std,6,5,True,0.001959296999999971
19,std,5,4,True,0.0010963849999994224
20,std,9,8,True,0.0011983760000005006
21,std,293,0,False,0.012397592000000124
22,std,4,3,True,0.001114566000000039
23,std,5,0,False,0.0008156460000003918
24,std,9,8,True,0.0011560770000000886
25,std,9,8,True,0.0007068969999997066
26,std,27,12,True,0.004476570999999652
27,std,7,6,True,0.0004858360000001838
28,std,62,0,False,0.0008530420000001371
29,std,127,0,False,0.0049857160000001954
30,std,9,8,True,0.0003870849999998427
31,std,14,10,True,0.002847134000000473
32,std,569,0,False,0.020862038999999832
33,std,5,4,True,0.0010846270000000047
34,std,25,0,False,0.0004992219999992997
35,std,3286,0,False,0.08264025599999947
36,std,5,4,True,0.0010394150000001545
37,std,6,5,True,0.001072257000000576
38,std,4,3,True,0.0006862659999997689
39,std,9,8,True,0.0006588350000003018
40,std,18,11,True,0.003543137000000307
41,std,746,0,False,0.027280334000000295
42,std,61,0,False,0.017841682999999442
43,std,4193,0,False,0.09551684799999993
44,std,4,3,True,0.0004416230000003907
45,std,84,7,True,0.009604165999999914
46,std,5,0,False,0.00035630700000055526
47,std,9,8,True,0.0005432389999997511
48,std,4,3,True,0.0008865699999995869
49,std,9,8,True,0.0003903080000000614
50,std,3,0,False,0.0003154380000003343
51,std,7,6,True,0.0007905310000007049
52,std,5,4,True,0.0006357939999999118
53,std,6,5,True,0.0016279100000007318
54,std,10,9,True,0.0016993630000001758
55,std,9,8,True,0.00021555800000072622
56,std,7,4,True,0.0012568169999997991
57,std,7,6,True,0.00044846700000000794
58,std,7,6,True,0.0006330620000003506
59,std,7,6,True,0.00011786300000071748
60,std,39,8,True,0.002162647999999656
61,std,6,3,True,0.0007952799999992877
62,std,7,6,True,0.0012251100000000292
63,std,21,6,True,0.0028092830000003843
64,std,9,8,True,0.0004490929999994009
65,std,569,0,False,0.004444587000000055
66,std,5,4,True,0.000615026000000185
67,std,9,8,True,0.0003113250000001955
68,std,80,0,False,0.014416407000000575
69,std,15,6,True,0.0012286560000003277
70,std,33,13,True,0.003733992999999991
71,std,9,8,True,0.00030990099999961274
72,std,5,4,True,0.0005670960000001557
73,std,2713,0,False,0.05921635199999997
74,std,5,4,True,0.0006377449999996898
75,std,106,9,True,0.006138889999999897
76,std,9,7,True,0.0006761820000003027
77,std,5,4,True,0.0005532070000002776
78,std,9,8,True,0.0010237589999997354
79,std,27,0,False,0.004073040999999833
80,std,8,4,True,0.0017454450000000676
81,std,4,3,True,0.0005244659999998902
82,std,7,6,True,0.0011208780000000473
83,std,7,6,True,0.0003783040000007176
84,std,6,5,True,0.0006903449999997591
85,std,4,3,True,0.00032282699999974795
86,std,4,3,True,0.0004736129999995953
87,std,62,0,False,0.0011369979999997781
88,std,9,8,True,0.00044879300000033595
89,std,7,6,True,0.00048090099999953395
90,std,4,3,True,0.0008622959999993185
91,std,45,11,True,0.012108746999999198
92,std,152,13,True,0.004702310999999959
93,std,5,4,True,0.00034942900000078936
94,std,7,6,True,0.0011979059999998043
95,std,16,6,True,0.001125860000000145
96,std,299,15,True,0.04433082000000077
97,std,6,3,True,0.0016604349999997936
98,std,5,4,True,0.00026172000000013185
99,std,8,7,True,0.0007903649999994045
100,std,499,0,False,0.030887556000000593
