query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,13,0,False,0.4381661339999994
2,ming,66,0,False,0.09992705199999996
3,ming,8,6,True,0.044967972000000245
4,ming,138,13,True,0.49896893900000094
5,ming,11,8,True,0.1611078379999995
6,ming,251097,0,False,16.146608528999998
7,ming,7,6,True,0.06209825799999891
8,ming,11,3,True,0.05015342600000139
9,ming,9,8,True,0.09603838700000011
10,ming,1368,0,False,0.3052899360000012
11,ming,25,6,True,0.10296136099999842
12,ming,9,8,True,0.06708190299999828
13,ming,5934,0,False,1.8568955669999987
14,ming,7,6,True,0.15946104100000014
15,ming,6,5,True,0.060888143999999755
16,ming,110,0,False,0.1147172389999973
17,ming,3,2,True,0.0030224719999978333
18,ming,15933,0,False,1.9982281740000012
19,ming,7,6,True,0.07303468400000312
20,ming,48,0,False,0.09883853500000228
21,ming,132,10,True,0.2768012849999977
22,ming,8,5,True,0.061503565000002425
23,ming,1478,13,True,0.5598881330000012
24,ming,59,8,True,0.20128699300000008
25,ming,9,5,True,0.06209366199999877
26,ming,7,6,True,0.1955296519999976
27,ming,47,7,True,0.016441478000000842
28,ming,89,0,False,0.10494927499999918
29,ming,20,8,True,0.0767787449999986
30,ming,7,6,True,0.0619137909999985
31,ming,9,8,True,0.054218888000001186
32,ming,145,8,True,0.15943940000000012
33,ming,12,6,True,0.02945326800000103
34,ming,16,9,True,0.031219653999997377
35,ming,20,8,True,0.07107331099999925
36,ming,103,11,True,0.12063205999999838
37,ming,76434,0,False,3.6597249930000046
38,ming,11,7,True,0.04489593600000319
39,ming,4,3,True,0.03168245599999864
40,ming,4,3,True,0.036389280000001634
41,ming,7,6,True,0.10929229199999924
42,ming,7,6,True,0.09544780200000247
43,ming,25,8,True,0.03724526699999586
44,ming,7,6,True,0.07411335000000463
45,ming,10,9,True,0.01884001300000193
46,ming,50510,0,False,6.970940583999997
47,ming,12,8,True,0.14532858999999831
48,ming,7,5,True,0.027669791000001
49,ming,6,5,True,0.063724698999998
50,ming,4,3,True,0.03995076399999675
51,ming,5,4,True,0.0955444730000039
52,ming,89,0,False,0.009792210000000523
53,ming,6,5,True,0.05122407500000037
54,ming,5,4,True,0.10258472900000015
55,ming,294,11,True,0.3502767559999995
56,ming,602,0,False,0.5232053559999983
57,ming,8,7,True,0.06048207799999972
58,ming,4,3,True,0.03844099300000181
59,ming,6,5,True,0.02704806299999518
60,ming,5,4,True,0.007095802000002038
61,ming,5,4,True,0.054506968999994854
62,ming,6,4,True,0.037204040999995414
63,ming,2080,0,False,0.46650989999999837
64,ming,13,12,True,0.14926594600000698
65,ming,4,3,True,0.06710579599999988
66,ming,4,3,True,0.01775845600000281
67,ming,5,4,True,0.021987176999999747
68,ming,30,10,True,0.04352177300000193
69,ming,230,11,True,0.09282512000000054
70,ming,5794,0,False,1.6585567069999954
71,ming,57,0,False,0.05318379799999917
72,ming,174,8,True,0.08993467999999893
73,ming,4,3,True,0.006921727000005262
74,ming,292,14,True,0.1415069060000036
75,ming,13,4,True,0.0418972189999991
76,ming,9,8,True,0.10243880800000227
77,ming,4,3,True,0.014601556000002347
78,ming,4,3,True,0.05152187199999503
79,ming,4130,0,False,1.1836669569999998
80,ming,9,8,True,0.013110515999997574
81,ming,7,6,True,0.10685432200000378
82,ming,9,8,True,0.05474095500000686
83,ming,48643,0,False,3.2278499779999947
84,ming,16,10,True,0.03494955400000066
85,ming,2720,0,False,0.2845108629999942
86,ming,164330,0,False,13.354840363000001
87,ming,111859,0,False,12.514328135
88,ming,5,3,True,0.01895458499998881
89,ming,4,3,True,0.02602823700000556
90,ming,14,0,False,0.06285322499999779
91,ming,9,8,True,0.25599225199999864
92,ming,547,9,True,0.3355165339999928
93,ming,6,5,True,0.09475734699999805
94,ming,4,2,True,0.007257945000006316
95,ming,209698,0,False,14.685327117
96,ming,35,7,True,0.09334518600000763
97,ming,6,5,True,0.07435530900001197
98,ming,390,0,False,0.3923224360000006
99,ming,27,5,True,0.06373845200000972
100,ming,6,3,True,0.03699536199999898
