goal	rule	score
exhibits(S, muscle_weakness)	exhibits(patient_iris, muscle_weakness)	1
has_symptom(D, RF)	has_symptom(covid19, fatigue)	1
has_symptom(depression, insomnia)	has_symptom(depression, insomnia)	1
patient(D1)	patient(patient_iris)	1
exhibits(D, D1)	exhibits(patient_kate, pale_skin)	1
has_symptom(D, D1)	has_symptom(covid19, cough)	1
risk_increases(D, Doc)	risk_increases(obesity, diabetes)	1
has_symptom(D2, D)	has_symptom(asthma, shortness_of_breath)	1
drug_for_symptom(RF, D1)	drug_for_symptom(Drug, S) :- treats(Drug, D), has_symptom(D, S)	1
exhibits(Doc, D)	exhibits(patient_jack, nausea)	1
patient(Organ)	patient(patient_carol)	1
treats(Organ, D)	treats(amlodipine, hypertension)	1
possible_affected_organ(D, Drug)	possible_affected_organ(P, Organ) :- may_have_disease(P, D), affects(D, Organ)	1
risk_increases(smoking, heart_disease)	risk_increases(smoking, heart_disease)	1
affects(heart_disease, Organ)	affects(heart_disease, heart)	1
exhibits(D2, joint_pain)	exhibits(patient_grace, joint_pain)	1
has_symptom(D, D1)	has_symptom(copd, fatigue)	1
exhibits(Organ, shortness_of_breath)	exhibits(patient_henry, shortness_of_breath)	1
has_symptom(asthma, Doc)	has_symptom(asthma, shortness_of_breath)	1
has_symptom(cancer, fatigue)	has_symptom(cancer, fatigue)	1
requires_specialist(covid19, D)	requires_specialist(covid19, pulmonology)	1
has_symptom(D, RF)	has_symptom(pneumonia, shortness_of_breath)	1
treats(Spec, D)	treats(aspirin, stroke)	1
exhibits(D, D1)	exhibits(patient_jack, nausea)	1
risk_increases(D, Doc)	risk_increases(obesity, hypertension)	1
side_effect(D, RF)	side_effect(sertraline, insomnia)	1
patient(D)	patient(patient_mia)	1
exhibits(SE, dizziness)	exhibits(patient_carol, dizziness)	1
at_risk_for(D, diabetes)	at_risk_for(P, D) :- has_risk_factor(P, RF), risk_increases(RF, D)	1
has_symptom(D2, muscle_weakness)	has_symptom(influenza, muscle_weakness)	1
has_symptom(D2, cough)	has_symptom(covid19, cough)	1
possible_drug_need(SE, sertraline)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
