query,std reasoner,std nodes explored,std min depth,success,time
1,std,81,8,True,0.020615953000000076
2,std,3,0,False,0.0005840260000002928
3,std,8,6,True,0.0016472770000000025
4,std,8,0,False,0.003222913000000105
5,std,9,8,True,0.0029053990000003083
6,std,590,0,False,0.03388815500000053
7,std,20,6,True,0.0062875400000006465
8,std,34,3,True,0.004673406000000213
9,std,9,8,True,0.0023289960000001386
10,std,62,0,False,0.04004696299999999
11,std,7,6,True,0.0015063460000002138
12,std,17,8,True,0.0026615099999993674
13,std,1507,0,False,0.22518596000000013
14,std,7,6,True,0.0013880479999999196
15,std,6,5,True,0.0009358310000004977
16,std,144,0,False,0.01037253600000021
17,std,3,2,True,0.0007750489999995835
18,std,516,0,False,0.03022817400000033
19,std,45,6,True,0.005967038000000535
20,std,2227,0,False,0.08814734999999985
21,std,15,10,True,0.003189313000000027
22,std,6,5,True,0.0011155020000002125
23,std,3327,0,False,0.22741137400000078
24,std,10,8,True,0.0020375150000004894
25,std,6,5,True,0.0013209650000005624
26,std,7,6,True,0.0007857129999999657
27,std,8,7,True,0.0007987820000003865
28,std,61,0,False,0.03816393299999987
29,std,15,8,True,0.003699440999999304
30,std,17,6,True,0.0052495600000002085
31,std,9,8,True,0.0007476149999998682
32,std,14,8,True,0.0032141470000004446
33,std,7,6,True,0.0015227490000002675
34,std,32,9,True,0.002285116999999559
35,std,9,8,True,0.0017319499999999266
36,std,116,11,True,0.007340196999999549
37,std,50,0,False,0.006696692999999421
38,std,8,7,True,0.0008716099999999116
39,std,4,3,True,0.0009309850000001063
40,std,4,3,True,0.0009409689999992921
41,std,7,6,True,0.0008663939999999926
42,std,7,6,True,0.0009708780000003969
43,std,17,8,True,0.0034859050000006775
44,std,7,6,True,0.000848695000000177
45,std,48,9,True,0.01832014000000015
46,std,271,0,False,0.026461070999999947
47,std,9,8,True,0.0012630680000000893
48,std,6,5,True,0.0012082519999996322
49,std,6,5,True,0.001959800000000733
50,std,4,3,True,0.0010175910000000954
51,std,5,4,True,0.001756418999999454
52,std,61,0,False,0.0011343349999997088
53,std,6,5,True,0.0010102390000001904
54,std,5,4,True,0.0011612779999996548
55,std,9,0,False,0.0018419630000003906
56,std,39,14,True,0.005466461999999339
57,std,8,7,True,0.0009104200000003004
58,std,4,3,True,0.0011299909999999969
59,std,6,5,True,0.0014018999999994008
60,std,7,4,True,0.016176353999999726
61,std,5,4,True,0.0017957389999994078
62,std,5,4,True,0.0009400130000001283
63,std,569,0,False,0.019403972999999297
64,std,389,0,False,0.019651823000000235
65,std,4,3,True,0.0016203280000004483
66,std,4,3,True,0.0011953699999995848
67,std,5,4,True,0.0005549499999997209
68,std,15,10,True,0.005549757999999905
69,std,34,12,True,0.004474734000000424
70,std,100,0,False,0.006966068999999742
71,std,7,6,True,0.0007348690000004154
72,std,9,8,True,0.0007490099999998279
73,std,4,3,True,0.0015738600000005931
74,std,23,14,True,0.006050491000000768
75,std,5,4,True,0.002207560999999636
76,std,23,8,True,0.0023053879999999083
77,std,4,3,True,0.0008572070000001375
78,std,4,3,True,0.0010408410000000146
79,std,921,0,False,0.11406085000000044
80,std,9,8,True,0.0002950000000003783
81,std,7,6,True,0.0010391570000001238
82,std,9,8,True,0.000872923000000192
83,std,1879,0,False,0.0879460140000008
84,std,27,10,True,0.005518835000000166
85,std,55,0,False,0.008524630000000144
86,std,516,0,False,0.011426432000000375
87,std,61,0,False,0.0014835500000005553
88,std,4,3,True,0.0009326129999998045
89,std,4,3,True,0.0007610069999994806
90,std,62,0,False,0.0012463719999997735
91,std,9,8,True,0.0007159329999995023
92,std,46,0,False,0.012090036000000026
93,std,6,5,True,0.0005820239999998478
94,std,7,2,True,0.002812568000000404
95,std,569,0,False,0.012052032999999795
96,std,8,7,True,0.0009779950000003979
97,std,6,5,True,0.0013411599999999524
98,std,271,0,False,0.008710950000000217
99,std,6,5,True,0.0011515070000003291
100,std,4,3,True,0.002559815000000576
