p3(a35, a13).
p8(a4).
p5(a81, a81).
p3(a89, a89).
p3(a53, a19).
p0(a70, a37).
p5(a70, a70).
p0(a81, a37).
p1(a2, a2).
p3(a19, a11).
p8(a81).
p3(a76, a76).
p1(a70, a70).
p0(a47, a37).
p5(a19, a19).
p5(a55, a55).
p5(a63, a63).
p1(a89, a89).
p0(a19, a37).
p0(a28, a37).
p4(a54, a17, a40, a0).
p0(a51, a37).
p8(a47).
p0(a21, a37).
p5(a5, a5).
p8(a76).
p8(a55).
p0(a17, a37).
p8(a63).
p1(a5, a5).
p1(a63, a63).
p1(a11, a11).
p3(a31, a31).
p0(a63, a37).
p1(a51, a51).
p5(a11, a11).
p3(a37, a48).
p1(a48, a48).
p3(a25, a0).
p0(a56, a37).
p0(a76, a37).
p5(a76, a76).
p3(a46, a46).
p1(a19, a19).
p3(a52, a63).
p3(a64, a0).
p0(a46, a37).
p3(a42, a42).
p5(a13, a13).
p0(a0, a37).
p3(a28, a28).
p8(a11).
p0(a42, a37).
p3(a40, a14).
p1(a90, a90).
p1(a27, a27).
p5(a39, a39).
p3(a72, a72).
p1(a3, a3).
p3(a81, a81).
p8(a5).
p0(a38, a37).
p8(a72).
p1(a6, a6).
p0(a72, a37).
p5(a46, a46).
p1(a42, a42).
p5(a47, a47).
p3(a56, a23).
p1(a76, a76).
p0(a31, a37).
p3(a0, a0).
p3(a27, a70).
p1(a83, a83).
p3(a86, a0).
p3(a13, a13).
p5(a10, a10).
p8(a19).
p0(a11, a37).
p3(a5, a5).
p1(a79, a79).
p3(a19, a19).
p0(a3, a37).
p1(a55, a55).
p3(a6, a6).
p8(a89).
p8(a2).
p3(a47, a47).
p3(a22, a18).
p5(a42, a42).
p3(a51, a51).
p3(a17, a17).
p3(a3, a3).
p3(a38, a38).
p3(a15, a17).
p5(a51, a51).
p0(a89, a37).
p0(a39, a37).
p3(a23, a13).
p5(a31, a31).
p3(a39, a39).
p3(a28, a2).
p5(a0, a0).
p1(a31, a31).
p1(a21, a21).
p0(a55, a37).
p3(a4, a4).
p0(a6, a37).
p3(a23, a31).
p5(a28, a28).
p3(a63, a63).
p1(a28, a28).
p1(a10, a10).
p3(a56, a56).
p5(a72, a72).
p0(a5, a37).
p5(a56, a56).
p1(a4, a4).
p5(a3, a3).
p5(a89, a89).
p3(a55, a55).
p3(a21, a21).
p1(a46, a46).
p3(a10, a10).
p0(a4, a37).
p8(a3).
p1(a17, a17).
p5(a6, a6).
p3(a2, a2).
p3(a11, a11).
p5(a4, a4).
p5(a2, a2).
p1(a72, a72).
p5(a17, a17).
p0(a10, a37).
p1(a38, a38).
p5(a38, a38).
p3(a58, a21).
p1(a56, a56).
p1(a47, a47).
p0(a2, a37).
p0(a13, a37).
p1(a81, a81).
p1(a13, a13).
p1(a68, a68).
p1(a39, a39).
p1(a52, a52).
p5(a21, a21).
p3(a70, a70).
