query,std reasoner,std nodes explored,std min depth,success,time
1,std,255856,2,True,20.235140145000003
2,std,50,0,False,0.25223026799999815
3,std,22,0,False,0.009211460000003058
4,std,255957,0,False,23.46570711
5,std,2,1,True,0.0004327299999999923
6,std,4,0,False,0.0024062320000055593
7,std,255856,2,True,19.775181144
8,std,1000000,0,False,104.663567363
9,std,2,1,True,0.0004666789999987486
10,std,18,0,False,0.00870438699999454
11,std,255856,2,True,20.83905032299998
12,std,1,0,False,0.0002549220000105379
13,std,6,0,False,0.0019491019999975379
14,std,2,1,True,0.0005034960000216415
15,std,22,0,False,0.005115888999995377
16,std,2,1,True,0.0004136350000010225
17,std,2,1,True,0.0004698319999931755
18,std,2,1,True,0.0001874730000110958
19,std,2,1,True,0.0006010580000008758
20,std,22,0,False,0.001791185999991285
21,std,2,1,True,0.0006028599999865492
22,std,18,0,False,0.009959446999999955
23,std,22,0,False,0.0017679039999904944
24,std,18,0,False,0.009225654000005079
25,std,22,0,False,0.0018006859999957214
26,std,2,1,True,0.00048075399999447654
27,std,255820,0,False,22.139490659000018
28,std,255856,2,True,20.326559660999976
29,std,1,0,False,0.0004856930000016746
30,std,255856,2,True,21.20463500300002
31,std,155037,5,True,13.734882122999977
32,std,2,1,True,0.0006576370000175302
33,std,70226,0,False,7.8659280499999795
34,std,125463,0,False,12.139819354000053
35,std,403971,2,True,42.78907892799998
36,std,512267,0,False,59.25240303999999
37,std,22,0,False,0.001236338000012438
38,std,22,0,False,0.0019381330000101116
39,std,3,0,False,0.0010775879999869176
40,std,22,0,False,0.0005324729999642841
41,std,22,0,False,0.0003876410000316355
42,std,255856,2,True,20.94705221999999
43,std,22,0,False,0.004651661000025342
44,std,50,0,False,0.0013288779999811595
45,std,22,0,False,0.0006514949999996134
46,std,1,0,False,0.0005537349999826802
47,std,255856,2,True,20.455389973999957
48,std,22,0,False,0.0008253020000097422
49,std,255908,0,False,21.202346743999954
50,std,22,0,False,0.001682312000014008
51,std,4,0,False,0.001439487000027384
52,std,2,1,True,0.0004890019999947981
53,std,22,0,False,0.00042681299999003386
54,std,1,0,False,0.00033893099998749676
55,std,22,0,False,0.0003811799999766663
56,std,21,0,False,0.003963856999973814
57,std,125609,0,False,13.059420658000022
58,std,2,1,True,0.00043521200001350735
59,std,255856,2,True,21.01350585499995
60,std,22,0,False,0.0021667020000109005
61,std,2,1,True,0.000674591999995755
62,std,255856,2,True,21.300910607999924
63,std,255856,2,True,21.951796382999987
64,std,255856,2,True,23.44286024600001
65,std,125528,0,False,12.311236349999945
66,std,255856,2,True,22.074752125999908
67,std,255856,2,True,22.016176557999984
68,std,18,0,False,0.008824449000030654
69,std,255856,2,True,22.294726315000048
70,std,2,1,True,0.00011322299997118535
71,std,1,0,False,0.0003556479999815565
72,std,2,1,True,7.850200006487285e-05
73,std,255923,0,False,24.240798745000006
74,std,18,0,False,0.00819575499997427
75,std,1,0,False,0.00047466600005918735
76,std,255856,2,True,20.42627512799993
77,std,18,0,False,0.008377397999993264
78,std,2,1,True,0.00030518199992002337
79,std,125463,0,False,11.960271153000008
80,std,2,1,True,0.0005410550000988223
81,std,255856,2,True,21.23284919599996
82,std,2,1,True,0.0007772210000211999
83,std,2,1,True,0.0001178060000484038
84,std,1,0,False,0.00031355999999505
85,std,1000000,0,False,119.66682472700006
86,std,2,1,True,0.00047691000008853734
87,std,1000000,0,False,97.48691826599998
88,std,22,0,False,0.0006051609999531138
89,std,22,0,False,0.0016794599999911952
90,std,2,1,True,0.0001325460000316525
91,std,512267,0,False,56.88205799399998
92,std,50498,0,False,6.268816897000079
93,std,1,0,False,0.0004289320000907537
94,std,2,0,False,0.0008505849999664861
95,std,21,0,False,0.00458513099999891
96,std,1000000,0,False,89.60782647299993
97,std,81,0,False,0.01760658699981832
98,std,255856,2,True,21.55639678600005
99,std,255908,0,False,22.297657816000083
100,std,255820,0,False,20.848244612999906
