query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,4,3,True,0.6597045710000007
2,ming,4,3,True,0.5175957790000005
3,ming,3,2,True,0.4118801859999994
4,ming,3,2,True,0.025728674999999868
5,ming,1000000,0,False,129.466910725
6,ming,3,2,True,0.02806794599999307
7,ming,27,11,True,2.4613864339999907
8,ming,4,3,True,0.5006342920000009
9,ming,3,2,True,0.009444135999984837
10,ming,42471,10,True,64.80594260100003
11,ming,4,3,True,0.7695705189999842
12,ming,25906,9,True,32.03117763999998
13,ming,3,2,True,0.4044035189999988
14,ming,13,11,True,1.8274486850000073
15,ming,5,4,True,0.28131557999998336
16,ming,4,3,True,0.03402705100000958
17,ming,7,5,True,3.159830411999991
18,ming,7,6,True,0.10079555100000448
19,ming,4,3,True,0.03303857700001345
20,ming,3,2,True,0.01681198200000722
21,ming,3,2,True,0.034182991000022867
22,ming,8,7,True,0.49151865499999303
23,ming,3,2,True,0.015355889999995043
24,ming,3,2,True,0.6698665579999954
25,ming,4,3,True,0.12662624100002517
26,ming,3,2,True,0.5779307130000007
27,ming,5,3,True,0.029600966000003837
28,ming,20,8,True,1.4328515489999916
29,ming,3,2,True,0.04006363300001681
30,ming,4,3,True,0.04025668700001006
31,ming,35,12,True,0.6004852580000204
32,ming,3,2,True,0.03974040700001069
33,ming,3,2,True,0.0373605689999863
34,ming,3,2,True,0.6303893850000009
35,ming,6,5,True,0.5915865150000172
36,ming,4,3,True,0.03072736300001111
37,ming,5,3,True,0.13259454299998197
38,ming,4,3,True,0.02446341300000654
39,ming,27443,5,True,3.6175770910000153
40,ming,68954,4,True,4.455119088999993
41,ming,3,2,True,0.020587669999997615
42,ming,4,2,True,0.031069103999982417
43,ming,4,3,True,0.05231990100003259
44,ming,4,3,True,0.05532282000001487
45,ming,4,3,True,0.03862707700000101
46,ming,4,3,True,0.6740924459999746
47,ming,4,3,True,0.043361645999993925
48,ming,3,2,True,0.6920505209999988
49,ming,6,5,True,1.5830898449999609
50,ming,1000000,0,False,101.96054152800002
51,ming,3,2,True,0.025942239000016798
52,ming,7,6,True,0.9395740200000091
53,ming,5,3,True,0.07700319199994965
54,ming,3,2,True,0.872420491000014
55,ming,4,3,True,0.06056367300004695
56,ming,3,2,True,0.03016697599997542
57,ming,3,2,True,0.9041001729999607
58,ming,18,7,True,7.652489401000025
59,ming,7,6,True,0.17573240399997303
60,ming,4,3,True,0.05846385799998188
61,ming,3,2,True,0.07225916300001245
62,ming,4,3,True,0.10784461899999087
63,ming,4,3,True,0.043952728000022034
64,ming,4,3,True,1.195055190000005
65,ming,3,2,True,0.028931254999974954
66,ming,3,2,True,0.051690341999972134
67,ming,3,2,True,0.029488460999971267
68,ming,3,2,True,0.9001837609999939
69,ming,4,3,True,0.23576654800001506
70,ming,5,3,True,1.8267772489999743
71,ming,3,2,True,0.9036682730000507
72,ming,4,3,True,0.044901762999984385
73,ming,3,2,True,0.036828203000027315
74,ming,3,2,True,0.09425166099998705
75,ming,310932,2,True,154.71322266600004
76,ming,3,2,True,0.02577166900005068
77,ming,785,9,True,2.3482350509999605
78,ming,3,2,True,0.03826346400001057
79,ming,2,1,True,0.13359241399996336
80,ming,21089,12,True,64.0236865060001
81,ming,4,3,True,1.1049205939999638
82,ming,4,3,True,0.05455553499996313
83,ming,4,3,True,1.1200748899999553
84,ming,4,3,True,0.05637578300002133
85,ming,1763,13,True,50.96357552500001
86,ming,3,2,True,0.8898985289999928
87,ming,7,4,True,0.6183489850000115
88,ming,1000000,0,False,107.86664120900002
89,ming,5,3,True,0.39604863699992165
90,ming,60285,7,True,23.00925389500003
91,ming,6,4,True,0.1814134500000364
92,ming,4,3,True,1.110781148000001
93,ming,10,9,True,0.4844622250000157
94,ming,7956,4,True,8.351551287000007
95,ming,4,3,True,0.06019628500007457
96,ming,4,3,True,0.057132919999958176
97,ming,4,3,True,0.9698124899999812
98,ming,4,3,True,0.9369695819999606
99,ming,13,12,True,0.5621238319999975
100,ming,4,3,True,1.2554211540000324
