goal	rule	score
p5(X0, X9)	p5(a57, a67)	1
p7(X3)	p7(a70)	1
p5(X0, X8)	p5(a51, a30)	1
p2(X0)	p2(a10)	1
p7(X5)	p7(a13)	1
p3(X8, X0, a10, X1, X2)	p3(a72, a0, a10, a72, a23)	1
p9(X0)	p9(a12)	1
p5(a8, X0)	p5(a8, a92)	1
p5(X0, X6)	p5(a69, a35)	1
p5(X0, X8)	p5(a26, a1)	1
p1(X0)	p1(X7) :- p9(X7)	1
p7(X5)	p7(X1) :- p5(X8, X1)	1
p0(X0, X5)	p0(a19, a42)	1
p7(X3)	p7(a28)	1
p1(a0)	p1(a0)	1
p5(X0, a8)	p5(X5, X5) :- p7(X9), p5(X5, X9)	1
p5(X1, a32)	p5(X5, X5) :- p7(X9), p5(X5, X9)	1
p1(X2)	p1(a0)	1
p8(X1, X3)	p8(a5, a20)	1
p7(X8)	p7(a68)	1
p7(X3)	p7(X1) :- p5(X8, X1)	1
p9(X1)	p9(a35)	1
p8(X0, X3)	p8(a15, a59)	1
p2(a0)	p2(a0)	1
p0(X0, X5)	p0(a34, a19)	1
p2(X0)	p2(a6)	1
p8(X8, X6)	p8(a98, a29)	1
p8(a8, a73)	p8(X6, a73) :- p7(X6)	1
p7(a81)	p7(X1) :- p5(X8, X1)	1
p8(X5, X3)	p8(a16, a15)	1
p4(a48, X0, a68, a66)	p4(a48, a12, a68, a66)	1
p8(X1, X0)	p8(a38, a14)	1
p7(X6)	p7(a18)	1
p5(X0, a26)	p5(X5, X5) :- p7(X9), p5(X5, X9)	1
p8(X7, X3)	p8(a5, a20)	1
p8(X6, X1)	p8(a0, a18)	1
p2(X8)	p2(a67)	1
p5(X0, X9)	p5(a69, a24)	1
p7(X5)	p7(X0) :- p3(X0, X2, a10, X8, X3)	1
p0(X0, a35)	p0(a13, a35)	1
p8(X2, X1)	p8(a56, a11)	1
p2(X8)	p2(a32)	1
p1(X0)	p1(a81)	1
p9(a83)	p9(a83)	1
p8(X9, X7)	p8(a48, a78)	1
p5(X0, X5)	p5(a25, a2)	1
p5(X0, a18)	p5(X5, X5) :- p7(X9), p5(X5, X9)	1
p0(a19, X0)	p0(a19, a42)	1
p7(X6)	p7(a49)	1
p7(X1)	p7(a3)	1
p5(X0, X2)	p5(a23, a90)	1
p7(X6)	p7(a0)	1
p5(X0, X8)	p5(a18, a75)	1
p8(X2, X1)	p8(a4, a38)	1
p5(X0, a1)	p5(a0, a1)	1
p1(X7)	p1(a17)	1
p2(a59)	p2(a59)	1
p9(X9)	p9(a28)	1
p5(X0, X1)	p5(a51, a30)	1
p1(X1)	p1(a20)	1
p5(X0, X3)	p5(a78, a78)	1
p9(X1)	p9(a59)	1
p7(X1)	p7(a84)	1
p7(X3)	p7(a52)	1
p5(a51, X0)	p5(a51, a30)	1
p7(X6)	p7(a5)	1
p7(X0)	p7(a32)	1
p9(X0)	p9(a35)	1
p5(X0, X7)	p5(a47, a81)	1
p7(X9)	p7(a32)	1
p0(X0, X1)	p0(a0, a1)	1
p7(X4)	p7(a68)	1
p5(X0, X6)	p5(a62, a91)	1
p8(X0, X1)	p8(a92, a2)	1
p7(X5)	p7(a18)	1
p0(X0, X1)	p0(a90, a46)	1
p7(X1)	p7(a73)	1
p5(X0, X6)	p5(a8, a92)	1
p5(X0, X2)	p5(a51, a30)	1
p9(X7)	p9(a93)	1
p8(X4, X9)	p8(a31, a46)	1
p8(X0, X1)	p8(a11, a92)	1
p8(X2, X1)	p8(a11, a92)	1
p1(X9)	p1(a5)	1
p5(X0, a25)	p5(X5, X5) :- p7(X9), p5(X5, X9)	1
p0(X0, X6)	p0(a2, a0)	1
p0(X0, X1)	p0(a50, a2)	1
p8(X4, X9)	p8(a15, a59)	1
p5(X0, X2)	p5(a26, a1)	1
p5(a32, X0)	p5(a32, a42)	1
p7(X5)	p7(a49)	1
p5(X0, X6)	p5(a78, a78)	1
