query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,589930,2,True,322.25
2,ming,3,2,True,0.03125
3,ming,2,1,True,0.046875
4,ming,2,1,True,0.015625
5,ming,7,6,True,0.0625
6,ming,2,1,True,0.046875
7,ming,2,1,True,0.015625
8,ming,1000000,0,False,423.765625
9,ming,5,2,True,0.015625
10,ming,4,2,True,0.0625
11,ming,3,2,True,0.015625
12,ming,2,1,True,0.078125
13,ming,2,1,True,0.015625
14,ming,3,2,True,0.015625
15,ming,2,1,True,0.03125
16,ming,3,2,True,0.03125
17,ming,2,1,True,0.078125
18,ming,2,1,True,0.015625
19,ming,4,3,True,0.046875
20,ming,3,2,True,0.03125
21,ming,2,1,True,0.015625
22,ming,2,1,True,0.109375
23,ming,1000000,0,False,547.328125
24,ming,3,2,True,0.015625
25,ming,3,2,True,0.015625
26,ming,3,2,True,0.03125
27,ming,3,2,True,0.015625
28,ming,6,2,True,0.03125
29,ming,56306,12,True,91.09375
30,ming,1000000,0,False,598.828125
31,ming,5,4,True,0.015625
32,ming,638712,5,True,511.90625
33,ming,4,3,True,0.15625
34,ming,95873,4,True,80.109375
35,ming,2,1,True,0.09375
36,ming,7,6,True,0.109375
37,ming,2,1,True,0.09375
38,ming,2,1,True,0.015625
39,ming,12,11,True,0.328125
40,ming,2,1,True,0.015625
41,ming,2,1,True,0.078125
42,ming,22,6,True,0.515625
43,ming,522880,5,True,361.578125
44,ming,9,8,True,0.671875
45,ming,3,2,True,0.109375
46,ming,7,6,True,0.109375
47,ming,2,1,True,0.015625
48,ming,3,2,True,0.0
49,ming,45056,0,False,59.28125
50,ming,2,1,True,0.015625
51,ming,2,1,True,0.09375
52,ming,19,5,True,0.296875
53,ming,121786,3,True,112.5
54,ming,2,1,True,0.078125
55,ming,710664,8,True,1538.59375
56,ming,81,6,True,1.328125
57,ming,2,1,True,0.03125
58,ming,2,1,True,0.0
59,ming,70019,7,True,83.96875
60,ming,1000000,0,False,543.0
61,ming,2,1,True,0.078125
62,ming,3,2,True,0.109375
63,ming,7399,5,True,16.328125
64,ming,3,2,True,0.0
65,ming,498504,8,True,189.890625
66,ming,114598,13,True,122.453125
67,ming,2,1,True,0.015625
68,ming,2,1,True,0.015625
69,ming,2,1,True,0.078125
70,ming,2,1,True,0.078125
71,ming,2,1,True,0.015625
72,ming,342,15,True,2.984375
73,ming,5,4,True,0.03125
74,ming,5,4,True,0.109375
75,ming,8,7,True,0.125
76,ming,3,2,True,0.015625
77,ming,1000000,0,False,265.140625
78,ming,19,4,True,0.390625
79,ming,83419,3,True,63.96875
80,ming,3,2,True,0.03125
81,ming,2,1,True,0.03125
82,ming,688321,10,True,106.734375
83,ming,10,9,True,0.1875
84,ming,2,1,True,0.0625
85,ming,3,2,True,0.078125
86,ming,49527,4,True,72.921875
87,ming,8,7,True,0.109375
88,ming,183157,6,True,155.328125
89,ming,291628,9,True,167.84375
90,ming,2,1,True,0.03125
91,ming,27863,3,True,21.078125
92,ming,3,2,True,0.046875
93,ming,7,6,True,0.109375
94,ming,8,7,True,0.25
95,ming,7,6,True,0.109375
96,ming,2,1,True,0.015625
97,ming,1000000,0,False,503.109375
98,ming,3,2,True,0.015625
99,ming,7,6,True,0.09375
100,ming,2,1,True,0.0625
