query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.613409688
2,ming,7,6,True,0.09906915200000022
3,ming,2,1,True,0.00976790700000052
4,ming,2,1,True,0.04307129499999984
5,ming,7,6,True,0.18922797599999974
6,ming,2,1,True,0.03848260199999931
7,ming,2,1,True,0.00016802400000059947
8,ming,7,6,True,0.06503198500000007
9,ming,2,1,True,0.002839983999999518
10,ming,3,2,True,0.0035636999999990593
11,ming,1000000,0,False,625.300373357
12,ming,1000000,0,False,579.3845221559999
13,ming,7,6,True,0.15672401799997715
14,ming,11,5,True,0.18086391500014543
15,ming,3,2,True,0.00495556700002453
16,ming,1000000,0,False,598.738284627
17,ming,2,1,True,0.010476091999862547
18,ming,2,1,True,0.04351331600014419
19,ming,2,1,True,0.03599797899983059
20,ming,2,1,True,0.04396807000011904
21,ming,6,4,True,0.03562192300000788
22,ming,3,2,True,0.012309411999922304
23,ming,2,1,True,0.03804924700011725
24,ming,2,1,True,0.0028433119998680922
25,ming,5,4,True,0.04785337800012712
26,ming,2,1,True,0.0032763410001734883
27,ming,2,1,True,0.09774019099995712
28,ming,3,2,True,0.0070353409998915595
29,ming,5,3,True,0.014017034000062267
30,ming,3,2,True,0.012378529999978127
31,ming,3,2,True,0.013195961000064926
32,ming,3,2,True,0.006349174999968454
33,ming,2,1,True,0.009581108000020322
34,ming,3,2,True,0.0039478420001159975
35,ming,1000000,0,False,564.3105211390002
36,ming,1000000,0,False,500.83880967100004
37,ming,2,1,True,0.00928077199978361
38,ming,4,2,True,0.015140917999815429
39,ming,3,2,True,0.004042169000058493
40,ming,2,1,True,0.04034024100019451
41,ming,2,1,True,0.04017186400005812
42,ming,3,2,True,0.004052384999795322
43,ming,2,1,True,0.03354860500030554
44,ming,2,1,True,0.040587473999949
45,ming,2,1,True,0.0338671859999522
46,ming,424,3,True,3.8935834740000246
47,ming,4,3,True,0.02327618400022402
48,ming,2,1,True,0.009166854999875795
49,ming,2,1,True,0.0029002500000387954
50,ming,2,1,True,0.04049862000010762
51,ming,2,1,True,0.04033427700005632
52,ming,6,5,True,0.051152245000139374
53,ming,7,6,True,0.056941203999940626
54,ming,5,4,True,0.07910927100010667
55,ming,2,1,True,0.006362846000229183
56,ming,7,6,True,0.1167140720003772
57,ming,3,2,True,0.007879151999986789
58,ming,2,1,True,0.009050031999777275
59,ming,4,3,True,0.007347415999902296
60,ming,3,2,True,0.00577551600008519
61,ming,3017,6,True,6.373805609000101
62,ming,3,2,True,0.0037082079998072004
63,ming,2,1,True,0.0029022100002293882
64,ming,202990,5,True,104.39046580600007
65,ming,2,1,True,0.010575127000265638
66,ming,4,3,True,0.055124787999830005
67,ming,6,5,True,0.08431590500003949
68,ming,2,1,True,0.002858907000245381
69,ming,9,8,True,0.16512060900004144
70,ming,6,5,True,0.019939456999964023
71,ming,3,2,True,0.003521630999784975
72,ming,54,3,True,0.11131083500004024
73,ming,7,3,True,0.0331161119997887
74,ming,2,1,True,0.009160001000054763
75,ming,1000000,0,False,498.32575365599996
76,ming,3,2,True,0.009173974000077578
77,ming,3,2,True,0.008630104000076244
78,ming,2,1,True,0.0030270319998635387
79,ming,2,1,True,0.04057536399977835
80,ming,3,2,True,0.008261482999841974
81,ming,3,2,True,0.003809645000274031
82,ming,3,2,True,0.01201630200012005
83,ming,2,1,True,0.04004918100008581
84,ming,133676,5,True,58.014892949000114
85,ming,2,1,True,0.04129306400000132
86,ming,2,1,True,0.0035612539995781844
87,ming,3,2,True,0.003795943000113766
88,ming,2,1,True,0.028578569000274
89,ming,2,1,True,0.0027806670000245504
90,ming,479,3,True,4.481217693999952
91,ming,6,5,True,0.0671986770003059
92,ming,3,2,True,0.004260115999841219
93,ming,5,4,True,0.04964774500012936
94,ming,2,1,True,0.03232584900024449
95,ming,10,4,True,0.12666238200017688
96,ming,131761,4,True,69.269508116
97,ming,3,2,True,0.009485493999818573
98,ming,3,2,True,0.008127014000365307
99,ming,2,1,True,0.0032915420001700113
100,ming,2,1,True,0.04839771100023427
