query,modarch reasoner,modarch nodes explored,modarch min depth,success,time
1,modarch,2,1,True,0.5890785219999994
2,modarch,7,6,True,0.18281484599999942
3,modarch,2,1,True,0.014234014999999545
4,modarch,2,1,True,0.06407914299999984
5,modarch,7,6,True,0.254248983000001
6,modarch,2,1,True,0.0493235090000006
7,modarch,2,1,True,9.522799999928111e-05
8,modarch,7,6,True,0.15595865499999917
9,modarch,2,1,True,0.004222636999999807
10,modarch,3,2,True,0.003907276999999709
11,modarch,1000000,0,False,802.630253235
12,modarch,1000000,0,False,1090.714233348
13,modarch,7,6,True,0.26052604799997425
14,modarch,13,5,True,0.28473213099982786
15,modarch,3,2,True,0.00902210100002776
16,modarch,1000000,0,False,821.5605054179998
17,modarch,2,1,True,0.010918746999777795
18,modarch,2,1,True,0.057525049000105355
19,modarch,2,1,True,0.0502084320000904
20,modarch,2,1,True,0.05967799700010801
21,modarch,5,4,True,0.044450885000060225
22,modarch,3,2,True,0.016308272000060242
23,modarch,2,1,True,0.04888308799991137
24,modarch,2,1,True,0.004261403999862523
25,modarch,5,4,True,0.05940796200002296
26,modarch,2,1,True,0.0037238099998830876
27,modarch,2,1,True,0.04624803199976668
28,modarch,3,2,True,0.009429946000182099
29,modarch,4,3,True,0.017040025999904174
30,modarch,3,2,True,0.013944434999757505
31,modarch,6,2,True,0.017088933999730216
32,modarch,3,2,True,0.006048492999980226
33,modarch,2,1,True,0.010631765999733034
34,modarch,3,2,True,0.004237384000134625
35,modarch,386149,4,True,164.44352356400032
36,modarch,251107,5,True,164.28539814799979
37,modarch,2,1,True,0.013900336000006064
38,modarch,3,2,True,0.02032894199965085
39,modarch,3,2,True,0.004505651999807014
40,modarch,2,1,True,0.06202470300013374
41,modarch,2,1,True,0.061332665000009
42,modarch,3,2,True,0.004294633999961661
43,modarch,2,1,True,0.05089667399988684
44,modarch,2,1,True,0.06398954999986017
45,modarch,2,1,True,0.051794483000321634
46,modarch,1189,3,True,6.9356355689997145
47,modarch,4,3,True,0.03359954000006837
48,modarch,2,1,True,0.012736940999729995
49,modarch,2,1,True,0.003541619999850809
50,modarch,2,1,True,0.05703904700021667
51,modarch,2,1,True,0.05996786500008966
52,modarch,99,5,True,1.2895253870001397
53,modarch,7,6,True,0.07324893099985275
54,modarch,5,4,True,0.13120534399968165
55,modarch,2,1,True,0.009523773999717378
56,modarch,7,6,True,0.14896524400001
57,modarch,3,2,True,0.008301806999952532
58,modarch,2,1,True,0.012411873000019114
59,modarch,4,3,True,0.00940772800004197
60,modarch,3,2,True,0.008038911999847187
61,modarch,7,6,True,0.24560047700015275
62,modarch,3,2,True,0.004161854999892967
63,modarch,2,1,True,0.0034662960001696774
64,modarch,6,5,True,0.047594878999916546
65,modarch,2,1,True,0.016131176000271807
66,modarch,6,3,True,0.02336500999990676
67,modarch,14,5,True,0.14261267900019448
68,modarch,2,1,True,0.003786132000186626
69,modarch,987,8,True,1.5544082129999879
70,modarch,6,5,True,0.03277932199989664
71,modarch,3,2,True,0.00365528699967399
72,modarch,32,3,True,0.10547212500023306
73,modarch,10,3,True,0.04291107000017291
74,modarch,2,1,True,0.012371723999876849
75,modarch,1000000,0,False,414.8983731630001
76,modarch,3,2,True,0.017401474000052986
77,modarch,3,2,True,0.01641841899981955
78,modarch,2,1,True,0.005227202999776637
79,modarch,2,1,True,0.07328869100001612
80,modarch,3,2,True,0.020964230000117823
81,modarch,3,2,True,0.005477989000155503
82,modarch,4,2,True,0.028678290000243578
83,modarch,2,1,True,0.08847829599972101
84,modarch,6,5,True,0.40350374499985264
85,modarch,2,1,True,0.07052194600009898
86,modarch,2,1,True,0.003708939999796712
87,modarch,3,2,True,0.0044852979999632225
88,modarch,2,1,True,0.04399552599988965
89,modarch,2,1,True,0.004180232999715372
90,modarch,97,3,True,1.2885893130001023
91,modarch,1000000,0,False,569.412605002
92,modarch,3,2,True,0.006867635999697086
93,modarch,5,4,True,0.07846779800001968
94,modarch,2,1,True,0.04179122000005009
95,modarch,5,4,True,0.1425337480000053
96,modarch,139521,4,True,112.3414934399998
97,modarch,3,2,True,0.011645133000456553
98,modarch,3,2,True,0.010613686000397138
99,modarch,2,1,True,0.0038742320002711494
100,modarch,2,1,True,0.06758860100035236
