query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.0008857459999997985
2,std,69,6,True,0.039769422
3,std,2,1,True,0.0010778389999996918
4,std,2,1,True,0.001088796000000336
5,std,731754,6,True,60.614087803
6,std,2,1,True,0.0007479779999925995
7,std,2,1,True,8.555299999102317e-05
8,std,11,6,True,0.006187371999999414
9,std,2,1,True,0.0006271620000006806
10,std,3,2,True,0.0015338719999959949
11,std,5,4,True,0.0034746250000097234
12,std,1000000,0,False,231.407318507
13,std,7,6,True,0.00535709999996925
14,std,12,5,True,0.005917314999976497
15,std,3,2,True,0.0017137990000151149
16,std,8,4,True,0.006304178999982923
17,std,2,1,True,0.0010227409999856718
18,std,2,1,True,0.0010435849999907987
19,std,2,1,True,0.0008552379999855475
20,std,2,1,True,0.0011746840000341763
21,std,10,4,True,0.00605149400001892
22,std,3,2,True,0.001575669000033031
23,std,2,1,True,0.0008767819999775384
24,std,2,1,True,0.0007418800000209558
25,std,5,4,True,0.0028270760000168593
26,std,2,1,True,0.0008712739999623409
27,std,2,1,True,0.0019773050000253534
28,std,3,2,True,0.001285311999993155
29,std,4,3,True,0.0019905700000322213
30,std,8,2,True,0.004871299000001272
31,std,3,2,True,0.001746380000042791
32,std,3,2,True,0.001958675000025778
33,std,2,1,True,9.15089999580232e-05
34,std,3,2,True,0.0024961139999959414
35,std,929,4,True,0.1485994729999902
36,std,14958,5,True,1.9871073850000016
37,std,2,1,True,0.0009096850000105405
38,std,8,2,True,0.0041154699999879085
39,std,3,2,True,0.0014917899999886686
40,std,2,1,True,0.0010706809999874167
41,std,2,1,True,0.0024972289999709574
42,std,3,2,True,0.0015360139999529565
43,std,2,1,True,0.0009240869999871393
44,std,2,1,True,0.000996774999975969
45,std,2,1,True,0.0008483020000085162
46,std,23,3,True,0.01205376000001479
47,std,83,3,True,0.041201096000008874
48,std,2,1,True,0.0009074960000248211
49,std,2,1,True,0.0006518419999679281
50,std,2,1,True,0.0012226410000266696
51,std,2,1,True,0.0009446910000292519
52,std,7,6,True,0.0038739089999921816
53,std,7,6,True,0.004067206999991413
54,std,5,4,True,0.002531658000009429
55,std,2,1,True,0.0005944670000417318
56,std,9,6,True,0.0058407599999554805
57,std,3,2,True,0.0015049639999915598
58,std,2,1,True,0.0008703569999966021
59,std,4,3,True,0.0018487069999650885
60,std,3,2,True,0.0016430919999947946
61,std,8,7,True,0.0049374700000157645
62,std,3,2,True,0.0011715030000232218
63,std,2,1,True,0.0006749649999733265
64,std,6166,5,True,0.41565817800000104
65,std,2,1,True,0.0007682350000095539
66,std,44,3,True,0.02186604400003489
67,std,6,5,True,0.0033403109999881053
68,std,2,1,True,0.000723660000005566
69,std,11,8,True,0.007829033000007257
70,std,6,5,True,0.0038475819999916894
71,std,3,2,True,0.00144668399997272
72,std,23340,4,True,1.63117629300001
73,std,8,3,True,0.00420959899997797
74,std,2,1,True,0.0009321810000528785
75,std,512,7,True,0.1655498019999868
76,std,3,2,True,0.001256802999989759
77,std,4,2,True,0.001814175999982126
78,std,2,1,True,0.0007252580000454145
79,std,2,1,True,0.0009630100000208586
80,std,34987,2,True,2.3046695699999873
81,std,3,2,True,0.0015643060000343212
82,std,11669,2,True,0.7721249390000366
83,std,2,1,True,0.0009372110000072098
84,std,6,5,True,0.003538114000036785
85,std,2,1,True,0.0014780989999962912
86,std,2,1,True,0.0007194410000010976
87,std,3,2,True,0.0011373579999940375
88,std,2,1,True,0.000757776999989801
89,std,2,1,True,0.0006419609999852582
90,std,4,3,True,0.0018746400000395624
91,std,6,5,True,0.003158666999979687
92,std,3,2,True,0.0015974610000171197
93,std,21,4,True,0.0174631730000101
94,std,2,1,True,0.0008243930000162436
95,std,12,4,True,0.004813513999977204
96,std,56955,5,True,4.945999044000018
97,std,3,2,True,0.0023339640000017425
98,std,3,2,True,0.0017259680000165645
99,std,2,1,True,0.0007937160000324184
100,std,2,1,True,0.0013206250000052933
