query,std reasoner,std nodes explored,std min depth,success,time
1,std,4,3,True,0.0010341110000000597
2,std,4,3,True,0.0012594119999995712
3,std,3,2,True,0.001317124999999919
4,std,3,2,True,0.0019644610000000284
5,std,4,3,True,0.0008999840000001313
6,std,3,2,True,0.0008388790000006807
7,std,9,4,True,0.004320471999999853
8,std,4,3,True,0.0013724399999999193
9,std,3,2,True,0.00013935500000084033
10,std,1296,12,True,0.46526809700000005
11,std,6,3,True,0.0022599110000003364
12,std,87,9,True,0.02482971999999961
13,std,3,2,True,0.0006317689999999487
14,std,86,12,True,0.010251929000000715
15,std,6,5,True,0.0003882619999995285
16,std,4,3,True,0.0009737839999992559
17,std,7,6,True,0.002460611000000057
18,std,8,7,True,0.0022940760000000893
19,std,4,3,True,0.0011118129999996285
20,std,3,2,True,0.0009226080000006576
21,std,3,2,True,0.0009151090000001361
22,std,8,7,True,0.003198131000000437
23,std,3,2,True,0.00021572999999985853
24,std,3,2,True,0.0011666370000007475
25,std,8,3,True,0.0038417420000005364
26,std,3,2,True,0.0011459479999995636
27,std,9,3,True,0.0040887349999998435
28,std,60,8,True,0.011914248000000072
29,std,3,2,True,0.0009713610000003925
30,std,4,3,True,0.0007532839999999652
31,std,2824,12,True,0.31281791400000003
32,std,3,2,True,0.0009850630000007854
33,std,3,2,True,0.00014157199999953463
34,std,3,2,True,0.0017063309999993947
35,std,4,3,True,0.0009637640000006442
36,std,4,3,True,0.0011234719999997367
37,std,20,3,True,0.010937839000000338
38,std,4,3,True,0.002400903999999926
39,std,6,5,True,0.0016547889999998233
40,std,5,4,True,0.000842623999999681
41,std,3,2,True,0.0012113720000002104
42,std,3,2,True,0.00013980599999996457
43,std,4,3,True,0.0009672900000001761
44,std,4,3,True,0.001184107999999462
45,std,4,3,True,0.0011861699999995423
46,std,4,3,True,0.001727296999999517
47,std,4,3,True,0.000785023999999801
48,std,3,2,True,0.0012528079999993835
49,std,61,5,True,0.015730277000000292
50,std,5610,10,True,0.43367980000000017
51,std,3,2,True,0.0007739549999996598
52,std,1210,6,True,0.07285118699999948
53,std,6,3,True,0.0002237959999993322
54,std,3,2,True,0.0011568479999999326
55,std,5,4,True,0.001954206999999819
56,std,3,2,True,0.0007341459999992139
57,std,3,2,True,0.0011463349999996097
58,std,169,8,True,0.04221663700000011
59,std,10,9,True,0.004247263999999973
60,std,4,3,True,0.0007842799999995265
61,std,3,2,True,0.0009821130000000622
62,std,4,3,True,0.001155792999999683
63,std,4,3,True,0.0010190780000005617
64,std,4,3,True,0.0010876980000000813
65,std,3,2,True,0.0007252639999997257
66,std,3,2,True,0.00014145699999978945
67,std,3,2,True,0.0007315590000001038
68,std,3,2,True,0.0017237190000001235
69,std,8,3,True,0.0033507329999995505
70,std,4,3,True,0.002043292999999835
71,std,3,2,True,0.0012195970000004053
72,std,4,3,True,0.001128246000000388
73,std,3,2,True,0.0145971669999998
74,std,4,3,True,0.00020934200000066738
75,std,3,2,True,0.0007405850000008485
76,std,3,2,True,0.000741689999999906
77,std,59,10,True,0.014992596999999996
78,std,3,2,True,0.0009602229999998713
79,std,2,1,True,0.0006030949999997759
80,std,525,13,True,0.03295260199999994
81,std,4,3,True,0.0017898540000000907
82,std,4,3,True,0.0007923370000000318
83,std,4,3,True,0.00043227799999989713
84,std,4,3,True,0.0009837410000006486
85,std,3569,14,True,0.4796052889999993
86,std,3,2,True,9.125499999917963e-05
87,std,149,4,True,0.009528207999998983
88,std,7,6,True,0.001828324999999964
89,std,15,3,True,0.008141833999999903
90,std,101,7,True,0.026904065000000088
91,std,6,4,True,0.0021477499999988936
92,std,4,3,True,0.0018314789999998027
93,std,2365,9,True,0.06488743000000063
94,std,6,4,True,0.0021433420000001036
95,std,4,3,True,0.0008127340000001482
96,std,4,3,True,0.0008047910000001934
97,std,4,3,True,0.002119506999999743
98,std,4,3,True,0.001302490000000489
99,std,4585,12,True,0.28995971099999984
100,std,4,3,True,0.01755723799999842
